sample_name	experiment_accession
776.Ant.Solo.N.cont.A	ERX1736090
776.SN.2.C.T3A	ERX1736111
776.SN.2.C.T3C	ERX1736113
776.Ant.Solo.cont.C	ERX1736095
776.Ant.Solo.cont.B	ERX1736094
776.Ant.Solo.cont.A	ERX1736093
776.SN.2.C.T3B	ERX1736112
776.SN.2.C.T1C	ERX1736110
776.SN.2.C.T1B	ERX1736109
776.SN.2.C.T1A	ERX1736108
776.SC.C.T1C	ERX1736104
776.SC.BE.T1A	ERX1736096
776.SC.BE.T1C	ERX1736098
776.SC.BE.T1B	ERX1736097
776.SN.BE.T3A	ERX1736117
776.SN.BE.T3B	ERX1736118
776.SN.BE.T3C	ERX1736119
776.SN.BE.T1B	ERX1736115
776.SN.BE.T1C	ERX1736116
776.SN.BE.T1A	ERX1736114
776.SC.BE.T3C	ERX1736101
776.SC.BE.T3B	ERX1736100
776.SC.BE.T3A	ERX1736099
776.SC.C.T3B	ERX1736106
776.SC.C.T3C	ERX1736107
776.Ant.Solo.N.cont.C	ERX1736092
776.SC.C.T3A	ERX1736105
776.SC.C.T1A	ERX1736102
776.SC.C.T1B	ERX1736103
776.Ant.Solo.N.cont.B	ERX1736091